Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.212-101.200.174.154-8918-443-6,192.168.3.212,8918,101.200.174.154,443,6,12/11/2023 02:06:35 下午,159,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,12578.61635220126,159.0,0.0,159.0,159.0,159.0,159.0,0.0,159.0,159.0,0,0,0,0,0,0,0,0,0,40,0,12578.61635220126,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1020,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-101.200.174.154-8887-443-6,192.168.3.212,8887,101.200.174.154,443,6,12/11/2023 02:06:35 下午,62,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,32258.06451612903,62.0,0.0,62.0,62.0,62.0,62.0,0.0,62.0,62.0,0,0,0,0,0,0,0,0,0,40,0,32258.06451612903,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1020,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9091-53-6,192.168.3.212,9091,192.168.3.1,53,6,12/11/2023 02:06:50 下午,21742,4,5,33.0,143.0,31.0,0.0,8.25,15.195942440884233,143.0,0.0,28.6,63.95154415649399,8094.931469046086,413.9453592125839,2717.75,3652.8110799375163,10241.0,0.0,4835.0,1611.6666666666665,2701.4226498890052,4731.0,50.0,17073.0,4268.25,4449.289409557441,10241.0,0.0,0,0,0,0,92,112,183.97571520559285,229.96964400699108,0.0,143.0,17.6,45.112698384773616,2035.1555555555558,1,2,0,3,8,0,0,0,1.0,19.555555555555557,8.25,28.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9090-53-6,192.168.3.212,9090,192.168.3.1,53,6,12/11/2023 02:06:50 下午,28504,4,5,33.0,98.0,31.0,0.0,8.25,15.195942440884233,98.0,0.0,19.6,43.826932358995876,4595.846197024979,315.7451585742352,3562.9999999999995,6642.0292510217505,19236.0,0.0,4875.0,1625.0,2680.443060391323,4720.0,55.0,23919.0,5979.75,9109.053092940012,19236.0,0.0,0,0,0,0,92,112,140.33118158854896,175.41397698568622,0.0,98.0,13.100000000000001,31.363283558255752,983.6555555555556,1,2,0,3,8,0,0,0,1.0,14.555555555555555,8.25,19.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9092-53-6,192.168.3.212,9092,192.168.3.1,53,6,12/11/2023 02:06:50 下午,45556,4,5,30.0,167.0,28.0,0.0,7.5,13.69914839202301,167.0,0.0,33.4,74.68467044849298,4324.348055140926,197.55904820440776,5694.5,11734.067849033187,34090.0,48.0,5066.0,1688.6666666666665,2833.0584768644176,4960.0,51.0,40644.0,10161.0,16207.126477777196,34090.0,123.0,0,0,0,0,92,112,87.80402142418123,109.75502678022653,0.0,167.0,19.7,52.489258160334316,2755.1222222222223,1,2,0,3,8,0,0,0,1.0,21.88888888888889,7.5,33.4,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9093-53-6,192.168.3.212,9093,192.168.3.1,53,6,12/11/2023 02:06:50 下午,54995,4,5,30.0,100.0,28.0,0.0,7.5,13.69914839202301,100.0,0.0,20.0,44.721359549995796,2363.851259205382,163.65124102191106,6874.375,14796.365006673575,42915.0,61.0,5658.0,1886.0,3147.146485310145,5520.0,61.0,49540.0,12384.999999999998,20573.764053603154,42915.0,65.0,0,0,0,0,92,112,72.73388489862714,90.91735612328394,0.0,100.0,13.000000000000002,31.79447890576112,1010.8888888888889,1,2,0,3,8,0,0,0,1.0,14.444444444444445,7.5,20.0,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9094-53-6,192.168.3.212,9094,192.168.3.1,53,6,12/11/2023 02:06:50 下午,67707,5,5,39.0,86.0,37.0,0.0,7.8,16.34625339336204,86.0,0.0,17.2,38.46036921299638,1846.1902018993603,147.69521615194884,7523.0,17307.66252993165,53164.0,58.0,65690.0,16422.5,28038.14490415988,58161.0,67.0,60483.0,15120.75,25446.669217207975,53164.0,58.0,0,0,0,0,112,112,73.84760807597442,73.84760807597442,0.0,86.0,11.363636363636363,27.10820070485213,734.8545454545456,2,2,0,3,9,0,0,0,1.0,12.5,7.8,17.2,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9095-53-6,192.168.3.212,9095,192.168.3.1,53,6,12/11/2023 02:06:50 下午,80680,5,5,39.0,133.0,37.0,0.0,7.8,16.34625339336204,133.0,0.0,26.6,59.47940820149441,2131.8790282597915,123.94645513138325,8964.444444444445,22084.12935294887,67444.0,0.0,80241.0,20060.25,35309.432010677636,72785.0,42.0,73669.0,18417.25,32781.36230009363,67444.0,0.0,0,0,0,0,112,112,61.97322756569162,61.97322756569162,0.0,133.0,15.636363636363637,40.46300218044313,1637.2545454545455,2,2,0,3,9,0,0,0,1.0,17.2,7.8,26.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9098-53-6,192.168.3.212,9098,192.168.3.1,53,6,12/11/2023 02:06:50 下午,56717,5,5,32.0,171.0,30.0,0.0,6.4,13.221195104830727,171.0,0.0,34.2,76.4735248304928,3579.1737926900228,176.3139799354691,6301.888888888889,16966.775735569536,51484.0,0.0,56154.0,14038.5,26378.117199678978,53570.0,53.0,54358.0,13589.5,25279.6577046974,51484.0,0.0,0,0,0,0,112,112,88.15698996773455,88.15698996773455,0.0,171.0,18.454545454545457,51.37969177868555,2639.8727272727274,2,2,0,3,9,0,0,0,1.0,20.3,6.4,34.2,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9099-53-6,192.168.3.212,9099,192.168.3.1,53,6,12/11/2023 02:06:50 下午,79873,5,5,32.0,195.0,30.0,0.0,6.4,13.221195104830727,195.0,0.0,39.0,87.20665112249179,2842.011693563532,125.19875302041991,8874.777777777777,21598.829851277696,65964.0,0.0,71090.0,17772.5,33624.18194791758,68171.0,49.0,77105.0,19276.25,36997.20222192484,74747.0,0.0,0,0,0,0,112,112,62.59937651020996,62.59937651020996,0.0,195.0,20.63636363636364,58.51883923536544,3424.4545454545455,2,2,0,3,9,0,0,0,1.0,22.7,6.4,39.0,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
